"nLayers","nNodes","MSE"
14,33,80.0148118084659
14,34,81.807800473643
14,35,127.624545013683
14,36,94.5388032552945
14,37,79.8598713107775
14,38,83.4566006724728
14,39,82.8675296363272
14,40,101.427340430501
14,41,83.3404079546547
14,42,93.8452466639028
14,43,79.2921457739151
14,44,90.4970949455658
14,45,86.3551902997725
14,46,78.9766441905452
14,47,75.6844781374596
14,48,86.7688285126667
14,49,83.0601727313264
14,50,77.9446877246388
14,51,83.1209233813072
14,52,90.8296674411478
14,53,90.9739924987172
14,54,77.1643557829668
14,55,75.8651916181842
14,56,77.9710216308702
14,57,84.6319884452059
14,58,83.9219748795199
14,59,79.7265376964935
14,60,80.9550944852452
15,1,80.9550944852452
15,2,80.9550944852452
15,3,80.9550944852452
15,4,80.9550944852452
15,5,91.6861157099509
15,6,82.2666782414815
15,7,100.04308629318
15,8,86.4828241343131
15,9,121.753771197665
15,10,96.6790527561925
15,11,79.7655121830317
15,12,108.172391227334
15,13,87.6071896138865
15,14,92.4409353437377
15,15,80.1692622459137
15,16,76.0343454269756
15,17,88.3203571916005
15,18,106.103071321224
15,19,94.1587509179279
15,20,88.6335603430005
15,21,87.1198859842216
15,22,81.7860238551889
15,23,80.3429020042797
15,24,102.457291164435
15,25,86.6498735511029
15,26,82.3715437304713
15,27,95.6550909855222
15,28,79.4515531833965
15,29,79.5664866058038
15,30,80.2385389830759
15,31,80.5384874788051
15,32,77.4995776477053
15,33,82.5208575385478
15,34,96.2228318213562
15,35,78.5869206940006
15,36,97.306741198398
15,37,77.4554501886869
15,38,78.9222019365984
15,39,86.336539561038
15,40,91.9883739357788
15,41,79.6286778272891
15,42,105.245484431041
15,43,80.8817497336638
15,44,77.5360363709923
15,45,101.672276485023
15,46,77.155750409012
15,47,78.3149150493117
15,48,84.9987294952703
15,49,88.5618399074809
15,50,79.6497235741187
15,51,104.066884654571
15,52,79.5841385072713
15,53,93.2849073968455
15,54,78.3454130615731
15,55,99.1977756204288
15,56,83.255404799432
